conf_upper,min_rules,min_score,overrides,accuracy,precision,recall,f1_score,roc_auc
0.75,3,0.8,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,3,1.2,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,3,1.6,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,3,2.0,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.75,3,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,1,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,2,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,3,0.8,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,3,1.2,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,3,1.6,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,3,2.0,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.8,3,2.4,1,0.9728629579375848,0.9613869188337274,0.9910641754670999,0.976,0.9960393905734511
0.55,1,1.2,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,1,1.6,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,1,2.0,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,2,0.8,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,2,1.2,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,2,1.6,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,2,2.0,3,0.9719583898688376,0.9598741148701809,0.9910641754670999,0.9752198241406875,0.9960393905734511
0.55,1,0.8,6,0.9715061058344641,0.9583987441130298,0.991876523151909,0.9748502994011976,0.9960393905734511
0.6,1,1.2,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,1,1.6,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,1,2.0,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,2,0.8,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,2,1.2,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,2,1.6,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.6,2,2.0,6,0.9706015377657169,0.957613814756672,0.9910641754670999,0.9740518962075848,0.9960393905734511
0.65,1,1.2,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
